RunDate,Total,Keep,Exclude,Monitor,Threshold,Pass,Failed,Pending,Keywords,Safeguard
2026-06-16 06:03,950,210,711,29,500,PASS,,V6,40,0
2026-06-16 06:14,950,210,711,29,500,PASS,,V6,40,0
2026-06-16 06:40,950,210,711,29,500,PASS,,V6,40,0
2026-06-16 08:52,950,210,711,29,500,PASS,,V6,40,0
2026-06-16 08:56,950,210,711,29,500,PASS,,V6,40,0
2026-06-16 09:02,950,210,711,29,500,PASS,,V6,40,0
2026-06-16 09:05,950,210,711,29,500,PASS,,V6,40,0
2026-06-16 10:33,950,210,711,29,500,PASS,,V6,40,0
2026-06-16 10:38,950,210,711,29,500,PASS,,V6,40,0
2026-06-16 10:39,950,210,711,29,500,PASS,,V6,40,0
2026-06-16 10:44,950,210,711,29,500,PASS,,V6,40,0
2026-06-16 10:45,950,210,711,29,500,PASS,,V6,40,0
2026-06-16 10:47,950,210,711,29,500,PASS,,V6,40,0
2026-06-16 10:50,950,210,711,29,500,PASS,,V6,40,0
2026-06-16 10:55,950,210,711,29,500,PASS,,V6,40,0
2026-06-16 11:02,950,210,711,29,500,PASS,,V6,40,0
2026-06-16 11:08,950,210,711,29,500,PASS,,V6,40,0
2026-06-16 11:17,950,210,711,29,500,PASS,,V6,40,0
2026-06-16 11:31,950,210,711,29,500,PASS,,V6,40,0
2026-06-16 11:39,950,210,711,29,500,PASS,,V6,40,0
2026-06-16 11:57,950,210,711,29,500,PASS,,V6,40,0
2026-06-16 12:00,950,210,711,29,500,PASS,,V6,40,0
2026-06-16 12:07,950,210,711,29,500,PASS,,V6,40,0
2026-06-16 12:08,950,210,711,29,500,PASS,,V6,40,0
2026-06-16 12:28,950,210,711,29,500,PASS,,V6,40,0